,Disease,Symptoms,Sheet Link
1268,Elbow Bursitis (Bursitis),,
1269,Elbow pain (Muscle Pain),,
1270,Electrolyte Abnormalities,,
1271,Electromechanical Dissociation,,
1272,Embryonal rhabdomyosarcoma (Soft Tissue Sarcoma),,
1273,Emergency Contraception (Postcoital Contraception),,
1274,Emery-Dreifuss Muscular Dystrophy (Muscular Dystrophy),,
1275,Emesis (Vomiting),,
1276,Emesis Induction,,
1277,Emotion-Impulse Regulation Disorder (Borderline Personality Disorder),,
1278,Emotional Dysregulation Disorder (Borderline Personality Disorder),,
1279,Emotional Intensity Disorder (Borderline Personality Disorder),,
1280,Emotional Regulation Disorder (Borderline Personality Disorder),,
1281,Emotionally Unstable Personality Disorder (Borderline Personality Disorder),,
1282,Empeines (Pinta),,
1283,Emphysema (COPD),,
1284,Encephalitis,,
1285,"Encephalomyelitis, Acute Disseminated",,
1286,Encephalopathy,,
1287,Endemic syphilis (Bejel),,
1288,Endocarditis,,
1289,Endometrial Adenocarcinoma (Endometrial Cancer),,
1290,Endometrial Cancer,,
1291,Endometrial Carcinoma (Endometrial Cancer),,
1292,Endometrial Dysplasia,,
1293,"Endometrial Hyperplasia, Prophylaxis",,
1294,Endometrial Hyperplasia,,
1295,Endometriosis,,
1296,Endometritis,,
1297,Endoscopy or Radiology Premedication,,
1298,Endoscopy,,
1299,Enlarged prostate (Benign Prostatic Hyperplasia),,
1300,"Enteritis, Noninfectious (Noninfectious Colitis)",,
1301,Enterobiasis,,
1302,Enterocolitis,,
1303,Enterovirus D68 Infection,,
1304,Enuresis,,
1305,Environmental Illness (Multiple Chemical Sensitivity),,
1306,"Enzymopathy, Unspecified",,
1307,Eosinophilic Esophagitis,,
1308,Eosinophilic Folliculitis,,
1309,Eosinophilic Pustular Folliculitis (Eosinophilic Folliculitis),,
1310,"Epicondylitis, Tennis Elbow",,
1311,Epidemic Vomiting Syndrome,,
1312,"Epididymitis, Non-Specific",,
1313,"Epididymitis, Sexually Transmitted",,
1314,Epididymitis,,
1315,Epiglottitis,,
1316,Epilepsy,,
1317,Episcleritis,,
1318,Epstein-Barr Virus (Mononucleosis),,
1319,ERD (Borderline Personality Disorder),,
1320,Erectile Dysfunction,,
1321,Erection Problems (Erectile Dysfunction),,
1322,Erosive Esophagitis,,
1323,Erosive Gastritis,,
1324,Eructation (Gas),,
1325,Erythema (Skin Rash),,
1326,Erythema Mulitforme,,
1327,Erythermalgia (Erythromelalgia),,
1328,Erythroblastopenia,,
1329,Erythrodermic Psoriasis (Psoriasis),,
1330,Erythromelalgia,,
1331,Esophageal Candidiasis,,
1332,Esophageal Carcinoma,,
1333,Esophageal Disease,,
1334,Esophageal Hemorrhage,,
1335,Esophageal Obstruction,,
1336,Esophageal Reflux (GERD),,
1337,Esophageal Spasm,,
1338,Esophageal Ulceration with Bleeding,,
1339,Esophageal Ulceration,,
1340,Esophageal Variceal Hemorrhage Prophylaxis,,
1341,Esophageal Varices with Bleeding,,
1342,Esophageal Varices,,
1343,Esophagitis,,
1344,Ethylene Glycol Poisoning,,
1345,Eumycetoma,,
1346,EUPD (Borderline Personality Disorder),,
1347,Euvolemic Hyponatremia,,
1348,EV-D68 (Enterovirus D68 Infection),,
1349,Evan's Syndrome,,
1350,EVD (Ebola Virus Disease),,
1351,Ewing's Sarcoma,,
1352,Exaggerated startle disease (Hyperekplexia),,
1353,Excessive Daytime Sleepiness (Hypersomnia),,
1354,Excessive Perspiration (Hyperhidrosis),,
1355,Excessive Salivation,,
1356,Excessive Sleepiness (Narcolepsy),,
1357,Exchange Transfusion,,
1358,Excoriation Disorder,,
1359,Executive Function Disorder,,
1360,Exercise-induced asthma (Asthma),,
1361,Expectoration (Mucolysis),,
1362,Exposure to Hepatitis B Virus,,
1363,Extra-ovarian serous carcinoma (Peritoneal Cancer),,
1364,Extracorporeal Perfusion,,
1365,Extraesophageal Reflux (Laryngopharyngeal Reflux),,
1366,"Extrapulmonary tuberculosis (Tuberculosis, Extrapulmonary)",,
1367,Extrapyramidal Reaction,,
1368,Extravasation,,
1369,Extrinsic factor deficiency (Factor VII Deficiency),,
1370,Eye Conditions,,
1371,Eye Disorders (Eye Conditions),,
1372,"Eye Infection, Bacterial (Conjunctivitis, Bacterial)",,
1373,Eye Redness&Itching,,
1374,Eye Redness,,
1375,Eyelash Hypotrichosis,,
1376,Eyelid bump (Hordeolum),,
1377,FabryDisease,,
1378,FacialFatLoss(FacialLipoatrophy),,
1379,FacialLipoatrophy,,
1380,FacialWasting(FacialLipoatrophy),,
1381,FacialWrinkles,,
1382,FacioscapulohumeralMuscularDystrophy(MuscularDystrophy),,
1383,FactorIXDeficiency,,
1384,FactorIXHemophilia(FactorIXDeficiency),,
1385,FactorVIIDeficiency,,
1386,FactorVLeiden(Thrombotic&ThromboembolicDisorder),,
1387,FactorXDeficiency,,
1388,FactorXIIIDeficiency,,
1389,FaecalImpaction(FecalImpaction),,
1390,FailuretoThrive,,
1391,Fainting(Syncope),,
1392,FallopianTubeCancer,,
1393,FamilialAdenomatousPolyposis,,
1394,FamilialColdAutoinflammatorySyndrome,,
1395,FamilialColdUrticaria(FamilialColdAutoinflammatorySyndrome),,
1396,FamilialHibernianFever(TumorNecrosisFactorReceptorAssociatedPeriodicSyndrome),,
1397,FamilialHypercholesterolemia(HighCholesterol),,
1398,"FamilialHypercholesterolemia,Heterozygous(HighCholesterol,FamilialHeterozygous)",,
1399,"FamilialHypercholesterolemia,Homozygous(HighCholesterol,FamilialHomozygous)",,
1400,FamilialHypophosphatemia,,
1401,FamilialMediterraneanFever,,
1402,FamilialPeriodicParalysis,,
1403,FamilialTremor(BenignEssentialTremor),,
1404,FamilyHistoryofCerebrovascularDisease(History-CerebrovascularDisease),,
1405,FamilyHistoryofIschemicHeartDisease(History(Familial)-IschemicHeartDisease),,
1406,FamilyHistoryofMusculoskeletalDisorder(History(Familial)-MusculoskeletalDisorder),,
1407,FamilyHistoryofMyocardialInfarction(History-MyocardialInfarction),,
1408,Fasciculations(MuscleTwitching),,
1409,"Fasciolopsisbuski,IntestinalFluke",,
1410,FastHeartbeat(Tachyarrhythmia),,
1411,FastHeartRate(Tachyarrhythmia),,
1412,Fatigue,,
1413,FattyLiver(NonalcoholicFattyLiverDisease),,
1414,FebrileNeutropenia,,
1415,FecalImpaction,,
1416,FecalIncontinence,,
1417,Felty'sSyndrome,,
1418,FemaleInfertility,,
1419,FemaleSexualDysfunction(HypoactiveSexualDesireDisorder),,
1420,FetalMaturation,,
1421,Fever,,
1422,"Fibrinogendeficiency,congenital(CongenitalFibrinogenDeficiency)",,
1423,FibrinolyticBleeding,,
1424,FibrocysticBreastDisease,,
1425,Fibromatosis,,
1426,FibromuscularDysplasia,,
1427,Fibromyalgia,,
1428,"Filariasis,Elephantiasis",,
1429,Fishscaledisease(Ichthyosis),,
1430,FishTapewormInfection(Diphyllobothriumlatum),,
1431,Fits(Seizures),,
1432,Flatulence(Gas),,
1433,FlatWarts(Warts),,
1434,Floppymitralvalve(MitralValveProlapse),,
1435,Flu(Influenza),,
1436,FluidRetention,,
1437,FluorouracilOverdose,,
1438,FluPrevention(InfluenzaProphylaxis),,
1439,FMD(FibromuscularDysplasia),,
1440,FNH(BenignLiverTumor),,
1441,Focalnodularhyperplasia(BenignLiverTumor),,
1442,FocalSegmentalGlomerulosclerosis,,
1443,FolicAcid&CyanocobalaminDeficiency,,
1444,FolicAcidAntagonistOverdose,,
1445,FolicAcidDeficiency,,
1446,FollicleStimulation,,
1447,FollicularKeratosis(KeratosisPilaris),,
1448,FollicularLymphoma,,
1449,"Foodpoisoning,campylobacterenteritis(CampylobacterGastroenteritis)",,
1450,FootCare,,
1451,Forestier'sDisease(DiffuseIdiopathicSkeletalHyperostosis),,
1452,"Fracture,bone",,
1453,Frambesiatropica(Yaws),,
1454,"FredricksonTypeIIaHyperlipoproteinemia(HyperlipoproteinemiaTypeIIa,ElevatedLDL)",,
1455,"FredricksonTypeIIbHyperlipoproteinemia(HyperlipoproteinemiaTypeIIb,ElevatedLDLVLDL)",,
1456,"FredricksonTypeIIIHyperlipoproteinemia(HyperlipoproteinemiaTypeIII,Elevatedbeta-VLDLIDL)",,
1457,"FredricksonTypeIVHyperlipoproteinemia(HyperlipoproteinemiaTypeIV,ElevatedVLDL)",,
1458,"FredricksonTypeVHyperlipoproteinemia(HyperlipoproteinemiaTypeV,ElevatedChylomicronsVLDL)",,
1459,Frenga(Bejel),,
1460,Frequentbowelmovements(Diarrhea),,
1461,FrownLines(FacialWrinkles),,
1462,FrozenShoulder,,
1463,FructoseIntolerance,,
1464,FunctionalConstipation(ChronicIdiopathicConstipation),,
1465,FunctionalGastricDisorder,,
1466,FunctionalOvarianCysts(OvarianCysts),,
1467,FungalEndocarditis,,
1468,FungalInfection(FungalInfections),,
1469,"FungalInfection,Body(TineaCorporis)",,
1470,"FungalInfection,Feet(TineaPedis)",,
1471,"FungalInfection,Fingernail(Onychomycosis,Fingernail)",,
1472,"FungalInfection,Groin(TineaCruris)",,
1473,"FungalInfection,InternalandDisseminated",,
1474,"FungalInfection,Nails(Onychomycosis)",,
1475,"Fungalinfection,Scalp(TineaCapitis)",,
1476,"FungalInfection,Toenail(Onychomycosis,Toenail)",,
1477,FungalInfectionPrevention,,
1478,FungalInfectionProphylaxis,,
1479,FungalInfections,,
1480,FungalMeningitis,,
1481,FungalPeritonitis,,
1482,FungalPneumonia,,
1483,Fusariosis,,
1484,"Fusospirochetosis,TrenchMouth",,
1485,G-6-PDDeficiency,,
1486,GAD(GeneralizedAnxietyDisorder),,
1487,Galactosemia,,
1488,GallbladderContraction,,
1489,GallbladderDisease,,
1490,GallbladderFistula,,
1491,GallbladderObstructionw&oCalculus,,
1492,GallstoneIleus,,
1493,Gallstones,,
1494,GastricBypassSurgery,,
1495,GastricCancer,,
1496,GastricCarcinoma(StomachCancer),,
1497,GastricMotilityDisorder,,
1498,GastricUlcer(StomachUlcer),,
1499,GastricUlcerMaintenanceTreatment,,
1500,GastricUlcerProphylaxis,,
1501,GastricUlcerRelapse,,
1502,Gastrinoma,,
1503,Gastritis&Duodenitis,,
1504,Gastritis(Gastritis&Duodenitis),,
1505,"Gastroenteritis,viral(InfectiousGastroenteritis)",,
1506,Gastroenteritis,,
1507,GastroesophagealRefluxDisease(GERD),,
1508,GastrointestinalCandidiasis,,
1509,GastrointestinalDecontamination,,
1510,GastrointestinalDisorders,,
1511,GastrointestinalDiverticulawithHemorrhage,,
1512,GastrointestinalDiverticula,,
1513,GastrointestinalHemorrhage,,
1514,GastrointestinalObstruction,,
1515,GastrointestinalPerforation,,
1516,GastrointestinalStromalTumor,,
1517,GastrointestinalSurgery,,
1518,GastrointestinalTractExamination,,
1519,Gastroparesis,,
1520,Gas,,
1521,GaucherDisease,,
1522,GBM(GlioblastomaMultiforme),,
1523,GCTB(GiantCellTumorofBone),,
1524,GenderDysphoria,,
1525,GenderIdentityDisorder(GenderDysphoria),,
1526,GeneralizedAnxietyDisorder,,
1527,GenitalWarts(CondylomataAcuminata),,
1528,GenitourinarySurgery,,
1529,GERD,,
1530,Germcelltumor(TesticularCancer),,
1531,GestationalDiabetes,,
1532,GestationalTrophoblasticDisease(TrophoblasticDisease),,
1533,GestationalTrophoblasticNeoplasia(TrophoblasticDisease),,
1534,GiantCellArteritis,,
1535,GiantCellTumorofBone,,
1536,Giardiasis,,
1537,GID(GenderDysphoria),,
1538,GilbertSyndrome(Hyperbilirubinemia),,
1539,Gingivitis,,
1540,GitelmanSyndrome,,
1541,GlabellarLines(FacialWrinkles),,
1542,Glanders,,
1543,Glandularfever(InfectiousMononucleosis),,
1544,Glanzmann'sDisease,,
1545,Glanzmann’sThrombasthenia(Glanzmann'sDisease),,
1546,Glaucoma&IntraocularHypertension,,
1547,"Glaucoma,NarrowAngle",,
1548,"Glaucoma,OpenAngle",,
1549,GlaucomawithPupillaryBlock,,
1550,Glaucoma,,
1551,GlioblastomaMultiforme,,
1552,"Glioma,Malignant(MalignantGlioma)",,
1553,Glomerulonephritis,,
1554,Glossopyrosis(BurningMouthSyndrome),,
1555,Glucagonoma,,
1556,Gluten-sensitiveenteropathy(CeliacDisease),,
1557,Glutenintolerance(CeliacDisease),,
1558,Gnathostomiasis,,
1559,Goiter,,
1560,"GoldPoisoning,Mild",,
1561,"GoldPoisoning,Severe",,
1562,GoldPoisoning,,
1563,GonadotropinDeficiency,,
1564,GonadotropinInhibition,,
1565,Gonarthrosis(Osteoarthritis),,
1566,"GonococcalInfection,Disseminated",,
1567,"GonococcalInfection,Uncomplicated",,
1568,GonococcalInfection,,
1569,"Gonorrhea(GonococcalInfection,Uncomplicated)",,
1570,Goodpasture'sSyndrome(GoodpastureSyndrome),,
1571,GoodpastureSyndrome,,
1572,"Gout,Acute",,
1573,"Gout,Prophylaxis",,
1574,GoutyArthritis,,
1575,GoutyNephropathy,,
1576,Gout,,
1577,Graft-versus-hostdisease,,
1578,GramNegativeInfection,,
1579,Granulocytopenia(Neutropenia),,
1580,GranulomaAnnulare,,
1581,GranulomaInguinale,,
1582,GranulomatosiswithPolyangiitis(Wegener'sGranulomatosis),,
1583,Granulopenia(Neutropenia),,
1584,Graves'Disease,,
1585,Graves'Ophthalmopathy,,
1586,Grommets(TympanostomyTubePlacementSurgery),,
1587,GroupAStreptococcalPharyngitis(StrepThroat),,
1588,GrowthHormoneReserveTest,,
1589,"GrowthRetardation,ChronicRenalFailure",,
1590,GrowthRetardation,,
1591,GTP-CHDeficiency,,
1592,Guillain-BarreSyndrome,,
1593,GulfWarIllness(GulfWarSyndrome),,
1594,GulfWarSyndrome,,
1595,GumAbscess(DentalAbscess),,
1596,GumDisease(Gingivitis),,
1597,GuttatePsoriasis(Psoriasis),,
1598,GVHD(Graft-versus-hostdisease),,
1599,GWI(GulfWarSyndrome),,
1600,GWS(GulfWarSyndrome),,
1601,GynecologicalConditions,,
1602,H1N1Influenza(SwineFlu),,
1603,H5N1(AvianInfluenza),,
1604,HA-MRSA(Methicillin-ResistantStaphylococcusAureusInfection),,
1605,HAE(HereditaryAngioedema),,
1606,HaemophilusinfluenzaeProphylaxis,,
1607,HairLoss(Alopecia),,
1608,HairyCellLeukemia,,
1609,Hangover,,
1610,Hardeningofthearteries(Atherosclerosis),,
1611,Hashimoto'sdisease(ChronicLymphocyticThyroiditis),,
1612,HayFever(AllergicRhinitis),,
1613,"HbSS(Anemia,SickleCell)",,
1614,HCC(HepatocellularCarcinoma),,
1615,HCL(HairyCellLeukemia),,
1616,HCM(HypertrophicCardiomyopathy),,
1617,Head&NeckSurgery(Otolaryngology),,
1618,Headache,,
1619,HeadandNeckCancer,,
1620,HeadImaging,,
1621,HeadInjuryw&IntracranialHemorrhageandLossofConsciousness,,
1622,HeadInjurywithIntracranialHemorrhage,,
1623,HeadInjurywithLossofConsciousness,,
1624,HeadInjury,,
1625,HeadLice,,
1626,HearingLoss,,
1627,HeartAttack(MyocardialInfarction),,
1628,HeartAttack,,
1629,HeartBlock,,
1630,Heartburn(GERD),,
1631,HeartDisease,,
1632,HeartFailure(CongestiveHeartFailure),,
1633,HeartFailure,,
1634,HeartMurmur,,
1635,Heartpains(Angina),,
1636,HeartPalpitations(Arrhythmia),,
1637,Heartultrasound(Echocardiography),,
1638,HeartValveReplacement(ProstheticHeartValves-ThrombosisProphylaxis),,
1639,HeatStress,,
1640,HeavyMenstrualBleeding(Menorrhagia),,
1641,HelicobacterPyloriInfection,,
1642,HELLPSyndrome,,
1643,HelminthicInfection(WormsandFlukes),,
1644,Hemangiomaoftheliver(BenignLiverTumor),,
1645,Hemangioma,,
1646,Hematuria,,
1647,HemiplegicMigraine(Migraine),,
1648,Hemochromatosis,,
1649,HemodialysisAnticoagulation,,
1650,Hemodialysis,,
1651,Hemoglobinopathy,,
1652,"HemoglobinSSdisease(Anemia,SickleCell)",,
1653,HemolyticAnemia,,
1654,HemolyticUremicSyndrome,,
1655,Hemopericardium,,
1656,HemophiliaAwithInhibitors,,
1657,HemophiliaA,,
1658,HemophiliaB,,
1659,Hemophilia,,
1660,"Hemorrhage,intracerebral(HemorrhagicStroke)",,
1661,HemorrhagicCystitisProphylaxis,,
1662,Hemorrhagicfamilialnephritis(AlportSyndrome),,
1663,HemorrhagicFever,,
1664,HemorrhagicNephrosonephritis,,
1665,HemorrhagicStroke,,
1666,Hemorrhoids,,
1667,Hemosiderosis,,
1668,Hemostasis,,
1669,Henoch-SchonleinPurpura,,
1670,Heparin-InducedThrombocytopenia,,
1671,HeparinOverdose,,
1672,Hepaticadenoma(BenignLiverTumor),,
1673,HepaticComa,,
1674,HepaticEncephalopathy,,
1675,Hepatichemangioma(BenignLiverTumor),,
1676,HepaticTumor,,
1677,"Hepaticveinobstruction,Budd-Chiari(Thrombotic&ThromboembolicDisorder)",,
1678,HepaticVeno-OcclusiveDisease,,
1679,HepatitisAProphylaxis,,
1680,HepatitisA,,
1681,"HepatitisB,Chronic(HepatitisB)",,
1682,HepatitisBPrevention(HepatitisBProphylaxis),,
1683,HepatitisBProphylaxis(HepatitisBPrevention),,
1684,HepatitisB,,
1685,"HepatitisC,Chronic(HepatitisC)",,
1686,HepatitisC,,
1687,Hepatocellularadenoma(BenignLiverTumor),,
1688,HepatocellularCarcinoma,,
1689,HepatorenalSyndrome,,
1690,HerbalSupplementation,,
1691,HereditaryAngioedema,,
1692,HereditaryHemorrhagicTelangiectasia(Osler-Weber-RenduSyndrome),,
1693,HereditaryMotorandSensoryNeuropathy(Charcot-Marie-ToothDisease),,
1694,Hereditarynephritis(AlportSyndrome),,
1695,HereditaryOroticAciduria,,
1696,HereditaryTyrosinemiaType1,,
1697,Hernia-hiatal(HiatalHernia),,
1698,HerniatedDisk,,
1699,Herpesoticus(RamsayHuntSyndrome),,
1700,"HerpesSimplex,Mucocutaneous&ImmunocompetentHost",,
1701,"HerpesSimplex,Mucocutaneous&ImmunocompromisedHost",,
1702,"HerpesSimplex,Prophylaxis",,
1703,"HerpesSimplex,Suppression",,
1704,HerpesSimplex-Congenital,,
1705,HerpesSimplexDendriticKeratitis,,
1706,HerpesSimplexEncephalitis,,
1707,HerpesSimplexIridocyclitis,,
1708,HerpesSimplexLabialis(ColdSores),,
1709,HerpesSimplexOtitisExterna,,
1710,HerpesSimplex,,
1711,"HerpesZoster,Prophylaxis",,
1712,Herpeszosterauricularis(RamsayHuntSyndrome),,
1713,HerpesZosterIridocyclitis,,
1714,HerpesZosterMeningitis,,
1715,HerpesZosterMyelitis,,
1716,Herpeszosteroticus(RamsayHuntSyndrome),,
1717,HerpesZosterOtitisExterna(RamsayHuntSyndrome),,
1718,HerpesZosterPeripheralNeuropathy,,
1719,HerpesZoster,,
1720,HerpeticKeratitis,,
1721,"Heterophyesheterophyes,IntestinalFluke",,
1722,"HeterotopicOssification,SpinalCordInjury",,
1723,"HeterotopicOssification,TotalHipArthroplasty",,
1724,HeterotopicOssification,,
1725,"HeterozygousFamilialHypercholesterolemia(HighCholesterol,FamilialHeterozygous)",,
1726,"HeterozygousFH(HighCholesterol,FamilialHeterozygous)",,
1727,HGA(Ehrlichiosis),,
1728,HGE(Ehrlichiosis),,
1729,HHT(Osler-Weber-RenduSyndrome),,
1730,HiatalHernia,,
1731,Hiccups,,
1732,HidradenitisSuppurativa,,
1733,HIDS(HyperimmunoglobulinDSyndrome),,
1734,High-gradeB-cellLymphoma(BurkittLymphoma),,
1735,HighBloodPressure(Hypertension),,
1736,HighBloodPressure,,
1737,HighBloodSugar(Pre-Diabetes),,
1738,"HighCholesterol,FamilialHeterozygous",,
1739,"HighCholesterol,FamilialHomozygous",,
1740,HighCholesterol,,
1741,HighRiskPercutaneousTransluminalAngioplasty,,
1742,Hightemperature(Fever),,
1743,HighTriglycerides(Hypertriglyceridemia),,
1744,Hiparthroplasty(HipReplacement),,
1745,HipReplacement,,
1746,Hirsutism,,
1747,HistiocyticLymphoma(Non-Hodgkin'sLymphoma),,
1748,Histiocytosis,,
1749,"Histoplasmosis,ImmunocompenentHost",,
1750,"Histoplasmosis,ImmunocompromisedHostorCNSInvolvement",,
1751,"Histoplasmosis,Meningitis",,
1752,"Histoplasmosis,Prophylaxis",,
1753,Histoplasmosis,,
1754,History(Familial)-IschemicHeartDisease,,
1755,History(Familial)-MusculoskeletalDisorder,,
1756,"History,Nephrolithiasis",,
1757,"History,PepticUlcer",,
1758,"History,RadiationTherapy",,
1759,"History,SkinCancer",,
1760,"History,Thrombotic&ThromboembolicDisorder",,
1761,"History,Tuberculosis",,
1762,History-CerebrovascularDisease,,
1763,History-MusculoskeletalDisorder,,
1764,History-MyocardialInfarction,,
1765,HistoryofBloodDyscrasias,,
1766,HistoryofMusculoskeletalDisorder(History-MusculoskeletalDisorder),,
1767,HIV&AIDS(HIVInfection),,
1768,HIV(HIVInfection),,
1769,Hives(Urticaria),,
1770,"HIVInfection,Acute(HIVInfection)",,
1771,HIVInfection,,
1772,HIVSeroconversionSyndrome(HIVInfection),,
1773,HME(Ehrlichiosis),,
1774,HMSN(Charcot-Marie-ToothDisease),,
1775,HoardingDisorder,,
1776,Hodgkin'sDisease(Hodgkin'sLymphoma),,
1777,Hodgkin'sLymphoma,,
1778,"HomozygousFamilialHypercholesterolemia(HighCholesterol,FamilialHomozygous)",,
1779,"HomozygousFH(HighCholesterol,FamilialHomozygous)",,
1780,"HONK,hyperosmolarnon-ketoticcoma(NonketoticHyperosmolarSyndrome)",,
1781,HookwormInfection(NecatororAncylostoma),,
1782,Hordeolum,,
1783,Hospital-acquiredMRSA(Methicillin-ResistantStaphylococcusAureusInfection),,
1784,HotFlashes,,
1785,Housemaid'sknee(Bursitis),,
1786,HPV(HumanPapillomaVirus),,
1787,HPVVirus(HumanPapillomaVirus),,
1788,HSDD(HypoactiveSexualDesireDisorder),,
1789,Hughes'Syndrome(AntiphospholipidSyndrome),,
1790,Humangranulocyticanaplasmosis(Ehrlichiosis),,
1791,Humangranulocyticehrlichiosis(Ehrlichiosis),,
1792,HumanImmunodeficiencyVirusInfection(HIVInfection),,
1793,Humanmonocyticehrlichiosis(Ehrlichiosis),,
1794,HumanPapillomavirus(HumanPapillomaVirus),,
1795,HumanPapillomavirusProphylaxis,,
1796,HumanPapillomaVirus,,
1797,HungryBoneSyndrome,,
1798,Huntington'sDisease,,
1799,HuntingtonChorea(Huntington'sDisease),,
1800,Huntsyndrome(RamsayHuntSyndrome),,
1801,HurlerSyndrome(MucopolysaccharidosisTypeI),,
1802,HydatidDisease,,
1803,Hydrocephalus,,
1804,Hymenolepiasis(DwarfTapewormInfection(Hymenolepisnana)),,
1805,Hyperacousis(Hyperacusis),,
1806,Hyperacusis,,
1807,Hyperadrenocorticism,,
1808,Hyperaldosteronism,,
1809,Hyperammonemia,,
1810,Hyperbilirubinemia,,
1811,HypercalcemiaofMalignancy,,
1812,Hypercalcemia,,
1813,Hypercalciuria,,
1814,Hypercholesterolemia(HighCholesterol),,
1815,"Hypercholesterolemia,Familial(HighCholesterol)",,
1816,"Hypercholesterolemia,FamilialHeterozygous(HighCholesterol,FamilialHeterozygous)",,
1817,"Hypercholesterolemia,FamilialHomozygous(HighCholesterol,FamilialHomozygous)",,
1818,Hyperekplexia,,
1819,HyperemesisGravidarumwithMetabolicDisturbance,,
1820,HypereosinophilicSyndrome,,
1821,Hyperexplexia(Hyperekplexia),,
1822,Hyperglycemia(Pre-Diabetes),,
1823,Hyperhidrosis,,
1824,Hyperhomocysteinemia,,
1825,Hyperhomocystenemia(Hyperhomocysteinemia),,
1826,HyperimmunoglobulinDPeriodicFeverSyndrome(HyperimmunoglobulinDSyndrome),,
1827,HyperimmunoglobulinDSyndrome,,
1828,Hyperkalemia,,
1829,HyperkalemicPeriodicParalysis,,
1830,HyperkineticSyndromeofChildhood,,
1831,Hyperlipidemia(HighCholesterol),,
1832,"Hyperlipoproteinemia,FredricksonTypeIIa(HyperlipoproteinemiaTypeIIa,ElevatedLDL)",,
1833,"Hyperlipoproteinemia,FredricksonTypeIIb(HyperlipoproteinemiaTypeIIb,ElevatedLDLVLDL)",,
1834,"Hyperlipoproteinemia,FredricksonTypeIII(HyperlipoproteinemiaTypeIII,Elevatedbeta-VLDLIDL)",,
1835,"Hyperlipoproteinemia,FredricksonTypeIV(HyperlipoproteinemiaTypeIV,ElevatedVLDL)",,
1836,"Hyperlipoproteinemia,FredricksonTypeV(HyperlipoproteinemiaTypeV,ElevatedChylomicronsVLDL)",,
1837,"HyperlipoproteinemiaTypeIIa,ElevatedLDL",,
1838,"HyperlipoproteinemiaTypeIIb,ElevatedLDLVLDL",,
1839,"HyperlipoproteinemiaTypeIII,Elevatedbeta-VLDLIDL",,
1840,"HyperlipoproteinemiaTypeIV,ElevatedVLDL",,
1841,"HyperlipoproteinemiaTypeV,ElevatedChylomicronsVLDL",,
1842,Hyperlipoproteinemia,,
1843,Hypermagnesemia,,
1844,Hypernatremia,,
1845,Hypernephroma(RenalCellCarcinoma),,
1846,HyperostoticSpondylosis(DiffuseIdiopathicSkeletalHyperostosis),,
1847,HyperparathyroidismSecondarytoRenalImpairment,,
1848,Hyperparathyroidism,,
1849,HyperphosphatemiaofRenalFailure,,
1850,Hyperphosphatemia,,
1851,Hyperprolactinemia,,
1852,HypersecretoryConditions,,
1853,HypersensitivityVasculitis,,
1854,HypersexualityState,,
1855,Hypersomnia,,
1856,Hypertension(HighBloodPressure),,
1857,HypertensiveCongestiveHeartFailure,,
1858,HypertensiveEmergency,,
1859,HypertensiveEncephalopathy,,
1860,HypertensiveHeartDisease,,
1861,HypertensiveHeartwithCHFandRenalDisease,,
1862,HypertensiveHeartwithoutCHFandRenalDisease,,
1863,Hypertensivehemorrhage(HemorrhagicStroke),,
1864,HypertensiveRenalDisease,,
1865,HypertensiveRetinopathy,,
1866,Hyperthyroidism,,
1867,Hypertriglyceridemia,,
1868,HypertrophicCardiomyopathy,,
1869,HypertrophicOsteoarthritis(Osteoarthritis),,
1870,HyperuricemiaSecondarytoChemotherapy,,
1871,HypervitaminosisA,,
1872,HypervitaminosisD,,
1873,HypoactiveSexualDesireDisorder,,
1874,Hypocalcemia,,
1875,Hypochromicanemia(IronDeficiencyAnemia),,
1876,Hypodermoclysis,,
1877,Hypoestrogenism,,
1878,Hypoglycemia,,
1879,"Hypogonadism,Male",,
1880,Hypogonadism,,
1881,"HypogonadotropicHypogonadism-Male(Hypogonadism,Male)",,
1882,Hypokalemia,,
1883,HypokalemicPeriodicParalysis,,
1884,Hypomagnesemia,,
1885,Hypomania(Mania),,
1886,"Hyponatremia,Euvolemic(EuvolemicHyponatremia)",,
1887,Hyponatremia,,
1888,Hypoparathyroidism,,
1889,Hypophosphatasia,,
1890,Hypophosphatemia,,
1891,Hypopituitarism,,
1892,Hypoproteinemia,,
1893,"Hypoprothrombinemia,AnticoagulantInduced",,
1894,"Hypoprothrombinemia,NotAssociatedwithAnticoagulantTherapy",,
1895,"Hypoprothrombinemia,Prophylaxis",,
1896,Hypoprothrombinemia,,
1897,HypotensionSecondarytoHemodialysis,,
1898,Hypotension,,
1899,Hypothyroidism(UnderactiveThyroid),,
1900,"Hypothyroidism,AfterThyroidRemoval(Hypothyroidism,Post-Thyroidectomy)",,
1901,"Hypothyroidism,Post-Thyroidectomy(Hypothyroidism,AfterThyroidRemoval)",,
1902,HypotrichosisofEyelashes(EyelashHypotrichosis),,
1903,Hypoventilation(RespiratoryDepression),,
1904,Hypovolemia,,
1905,Hysterectomy,,
1906,Hystericalneurosis(Neurosis),,
1907,Hysterosalpingography,,
1908,IBD(InflammatoryBowelDisease),,
1909,IBM(InclusionBodyMyositis),,
1910,IBS(IrritableBowelSyndrome),,
1911,Ichthyosisvulgaris(Ichthyosis),,
1912,Ichthyosis,,
